feature_set,model,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,mae_mean,mae_std
with_course,logistic_regression_nominal,0.2471951088127559,0.05161527862989344,0.30344827586206896,0.0402134613437607,1.4551724137931035,0.14200869159982066
with_course,knn_k5,0.2437223778400249,0.03752870372812711,0.33793103448275863,0.06686454975746661,1.6758620689655175,0.24538547413320277
with_course,logistic_regression_ordinal,0.24357026143790844,0.05837411520470827,0.2827586206896552,0.059326381152018104,1.379310344827586,0.09753196981883412
without_course,knn_k5,0.21139224810277443,0.07032373340272464,0.3310344827586207,0.10816818718178016,1.9172413793103449,0.43921885043008707
without_course,logistic_regression_nominal,0.1428174603174603,0.04756124964586233,0.19310344827586207,0.04137931034482758,2.048275862068965,0.18063173591322468
without_course,logistic_regression_ordinal,0.12238837551337552,0.054791214175417144,0.15172413793103448,0.035165651817881276,2.0482758620689654,0.172551669009611
